n	seminaive	seminaive_simple	seminaive_raw	naive
#80	0.007194	0.008812	0.270539	0.336370
#100	0.013833	0.013186	0.646479	0.796323
120	0.022892	0.024259	1.317361	1.665417
140	0.036251	0.037431	2.409620	2.940412
160	0.056965	0.055152	4.046793	4.924467
180	0.079398	0.078873	6.568054	7.872324
200	0.113217	0.107375	9.908952	12.250987
220	0.142099	0.140923	14.839907	18.789452
240	0.180580	0.181604	21.635810	27.827654
260	0.226743	0.228421	39.628834	48.392551
280	0.283032	0.279426	57.017041	69.337042
300	0.355199	0.346572	80.621945	96.370860
320	0.416365	0.407076	109.706607	131.300051
