n	normal	minimized	normal_loopy	minimized_loopy
#40	0.000993	0.001463	0.057826	0.002262
120	0.023729	0.027291	3.309842	0.048516
140	0.036094	0.040211	5.908997	0.078949
160	0.054800	0.059774	9.881170	0.113233
180	0.077210	0.081866	16.031606	0.161782
200	0.103893	0.115333	23.860180	0.212903
220	0.135282	0.148905	35.865685	0.287794
240	0.176627	0.190715	55.938066	0.358693
260	0.222382	0.242398	81.851321	0.449349
280	0.273700	0.294522	117.875562	0.562220
300	0.332016	0.354969	171.829504	0.683819
320	0.401382	0.427672	251.552032	0.816528
340	0.490042	0.504592	349.667711	0.959488
360	0.558261	0.595407	461.829776	1.153054
380	0.672298	0.703575	598.082924	1.366998
400	0.778654	0.808651	745.815305	1.544677
#440	1.005965	1.058409	1148.258150	2.060937
#480	1.306840	1.370051	1683.928798	2.664369
