n	normal	minimized	normal_loopy	minimized_loopy
120	1.0	1.1501116776939608	139.48510261705087	2.0445867925323444
140	1.0	1.114063279215382	163.711337064332	2.187316451487782
160	1.0	1.0907664233576642	180.3133211678832	2.0662956204379563
180	1.0	1.0603030695505762	207.63639424944955	2.09535034321979
200	1.0	1.1101132896345278	229.66109362517204	2.049252596421318
220	1.0	1.1007007584157538	265.11793882408597	2.1273635812598863
240	1.0	1.0797613048967598	316.7016707524897	2.030793706511462
260	1.0	1.090007284762256	368.06630482682954	2.0206176758910344
280	1.0	1.0760759956156376	430.6743222506394	2.054146876141761
300	1.0	1.0691322104958798	517.5338055997302	2.059596525468652
320	1.0	1.065498701984643	626.7147804336018	2.034291522788765
340	1.0	1.0296913325796566	713.5464123483293	1.9579709494288247
360	1.0	1.0665387695002875	827.2649817916708	2.0654389255205
380	1.0	1.0465225242377636	889.6098515836728	2.033321533010659
400	1.0	1.0385241711979905	957.8263323632833	1.9837784176283693
440	1.0	1.0521330264969457	1141.4494043033305	2.048716406634426
480	1.0	1.048369348963913	1288.5500887637354	2.0387874567659394
