n	normal	minimized	normal_loopy	minimized_loopy
#80	0.007684	0.008056	0.717195	0.016045
#100	0.014810	0.015221	1.704627	0.030294
120	0.025316	0.027298	3.421927	0.053198
140	0.038298	0.040377	6.244838	0.078897
160	0.058078	0.059864	10.437521	0.114915
180	0.083195	0.084784	16.593644	0.162029
200	0.111849	0.114161	24.997020	0.217305
220	0.144014	0.149986	37.519793	0.288149
240	0.197267	0.197942	58.573375	0.368000
260	0.235874	0.241318	85.051912	0.466581
280	0.292445	0.301809	122.936356	0.571814
300	0.349611	0.363810	179.090508	0.692252
320	0.422398	0.436064	260.259708	0.857241
