n	seminaive	seminaive_simple	seminaive_raw	naive
#80	0.006652	0.007348	0.265970	0.328507
#100	0.012684	0.013189	0.635689	0.775523
120	0.021725	0.021697	1.274735	1.567656
140	0.034806	0.035133	2.351271	2.843430
160	0.053761	0.054385	4.040202	4.796765
180	0.081303	0.076872	6.429021	7.755701
200	0.101835	0.103059	9.880349	11.944286
220	0.136626	0.137537	14.656498	18.520631
240	0.174320	0.187297	22.885835	29.415100
260	0.215541	0.220301	39.007240	47.445773
280	0.271693	0.271076	56.685612	67.844684
300	0.336053	0.333356	79.836528	95.142417
320	0.406933	0.394794	109.552481	128.403345
